county_name,md_count_year,md_allergy_count,md_anesth_count,md_card_count,md_derm_count,md_emerg_med_count,md_fammed_count,md_gastr_count,md_genintmed_count,md_gen_surg_count,md_neuro_count,md_obgyn_count,md_ophth_count,md_psych_count,md_spec_count,md_surg_spec_count,all_gp_md_count,md_child_psych_count,md_gen_ped_count,census_year,census_count,popn_est_year,popn_est_count
Waldo,2015,0,2,1,0,7,18,0,5,3,1,2,1,3,13,11,18,1,4,2010,38786,2021,39912
Waldo,2010,0,4,1,0,9,17,1,4,5,1,3,1,5,12,14,17,2,4,2020,39607,2022,40241
Waldo,2010,0,4,1,0,9,17,1,4,5,1,3,1,5,12,14,17,2,4,2020,39607,2021,39912
Waldo,2010,0,4,1,0,9,17,1,4,5,1,3,1,5,12,14,17,2,4,2010,38786,2022,40241
Waldo,2010,0,4,1,0,9,17,1,4,5,1,3,1,5,12,14,17,2,4,2010,38786,2021,39912
Washington,2018,0,2,0,0,3,9,1,3,5,0,2,0,1,8,10,10,0,1,2020,31095,2022,31437
Washington,2018,0,2,0,0,3,9,1,3,5,0,2,0,1,8,10,10,0,1,2020,31095,2021,31121
Washington,2018,0,2,0,0,3,9,1,3,5,0,2,0,1,8,10,10,0,1,2010,32856,2022,31437
Washington,2018,0,2,0,0,3,9,1,3,5,0,2,0,1,8,10,10,0,1,2010,32856,2021,31121
Washington,2015,0,1,0,0,3,9,2,1,3,0,2,0,1,7,8,10,0,3,2020,31095,2022,31437
Washington,2015,0,1,0,0,3,9,2,1,3,0,2,0,1,7,8,10,0,3,2020,31095,2021,31121
Washington,2015,0,1,0,0,3,9,2,1,3,0,2,0,1,7,8,10,0,3,2010,32856,2022,31437
Washington,2015,0,1,0,0,3,9,2,1,3,0,2,0,1,7,8,10,0,3,2010,32856,2021,31121
Washington,2010,0,4,0,0,1,8,0,5,5,0,1,0,2,8,12,9,0,1,2020,31095,2022,31437
Washington,2010,0,4,0,0,1,8,0,5,5,0,1,0,2,8,12,9,0,1,2020,31095,2021,31121
